"Track ID","Track Name","Album ID","Artist ID(s)","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","ISRC","Label","Spotify ID"
"32","Starboy","32","149, 1689","230453","https://p.scdn.co/mp3-preview/57c1238d183c40da3157c2892346f58445b1377c?cid=9950ac751e34487dbbe027c4fd7f8e99","True","88","0.679","0.587","7","-7.015","1","0.276","0.141","6.35e-06","0.137","0.486","186.003","4","USUG11600976","Universal Republic Records","7MXVkk9YMctZqd1Srtv4MB"
"33","Anthem for the Year 2000","33","27","247786","https://p.scdn.co/mp3-preview/6e9e16c09ac0ffdb00c3a49577c89fc29e30128f?cid=9950ac751e34487dbbe027c4fd7f8e99","False","41","0.325","0.768","2","-7.51","1","0.0491","0.0426","4.04e-06","0.27","0.454","176.6","4","AUSM09800224","Sony Music Entertainment","3J19l4hOfwFFIF715BwVcG"
"34","Foreplay / Long Time","34","28","467640","https://p.scdn.co/mp3-preview/eabd2479930dced0472b26d62224f49274f7820b?cid=9950ac751e34487dbbe027c4fd7f8e99","False","58","0.435","0.657","5","-8.868","1","0.0545","0.00983","0.00748","0.0923","0.209","118.704","4","USSM17600873","Epic/Legacy","39C5FuZ8C8M0QI8CrMsPkR"
"35","New Romantics","35","29","230466","https://p.scdn.co/mp3-preview/8abfa84aa6b12e5aabf724ba36d404e5d2ad2251?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.633","0.889","5","-5.87","1","0.0715","0.00463","0.000458","0.0658","0.584","121.956","4","USCJY1431449","Universal Music Group","3KhIpPRbkjr3p1eJkD51dj"
"36","She - Original Stereo Version; 2006 Remaster","36","19","158960","https://p.scdn.co/mp3-preview/f618e29ac35f117a58f1cafbf734afacafe9728e?cid=9950ac751e34487dbbe027c4fd7f8e99","False","34","0.506","0.669","6","-6.755","0","0.0391","0.241","2e-06","0.116","0.763","119.267","4","USRH10651267","Rhino","2l1GIxmkts2O0qYrlwGwF0"
"37","I'm Good?","37","30","160186","https://p.scdn.co/mp3-preview/48aee5dda4d2b7d616758aadea7ca7e1e93853fb?cid=9950ac751e34487dbbe027c4fd7f8e99","False","50","0.901","0.761","4","-5.986","0","0.0704","0.311","0.0","0.065","0.96","119.984","4","AUHT01800391","Universal Music Australia Pty. Ltd.","1EuI95kVxZYLbENy8d6AOI"
"38","The Chain - 2004 Remaster","38","31","269813","https://p.scdn.co/mp3-preview/93de8b97f51f60e086c141c9d27622ab37944cc3?cid=9950ac751e34487dbbe027c4fd7f8e99","False","60","0.522","0.755","9","-6.95","1","0.0524","0.0517","6.63e-05","0.0781","0.637","151.796","4","USWB10400053","Rhino/Warner Records","7Dm3dV3WPNdTgxoNY7YFnc"
"39","Shoop","39","32","248573","https://p.scdn.co/mp3-preview/4a88a15552524cf0f1a79184073de290ce60605a?cid=9950ac751e34487dbbe027c4fd7f8e99","False","70","0.939","0.674","0","-7.232","1","0.212","0.091","0.0","0.0565","0.792","96.918","4","USWWW0126118","Mercury Records","0Pu71wxadDlB8fJXfjIjeJ"
"40","Trouble","40","33","193600","https://p.scdn.co/mp3-preview/50b3720a9d02c097443243182ef24704614441a2?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.575","0.933","7","-2.719","1","0.051","0.00822","0.0","0.244","0.848","135.5","4","USAR10301058","Arista","5PLC7cNlxWIMAZvXrtqsZm"
"41","You Got Me","41","34","227485","https://p.scdn.co/mp3-preview/fc87fb7dedb60de55af0319ad0ee31e6b7d0b87b?cid=9950ac751e34487dbbe027c4fd7f8e99","False","37","0.323","0.462","6","-8.898","1","0.0294","0.0531","4.45e-05","0.08","0.188","105.995","4","USRC11401788","RCA Records Label","4stNldZRtgwvHvb34INX5y"
